date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:24:08	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2021%20May%202020%2023:24:07%20GMT	http://ashik.templatepath.net/robots.txt		(from )
00:24:10	66860/66860	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2017:02:32%20GMT	http://ashik.templatepath.net/conexi-preview-files/	C:/My%20Web%20Sites/TaxiCo/ashik.templatepath.net/conexi-preview-files/index.html	(from )
00:24:10	1984/1984	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2004:43:38%20GMT	http://ashik.templatepath.net/conexi-preview-files/images/favicon//apple-icon-57x57.png	C:/My%20Web%20Sites/TaxiCo/ashik.templatepath.net/conexi-preview-files/images/favicon/apple-icon-57x57.png	(from http://ashik.templatepath.net/conexi-preview-files/)
00:24:11	2104/2104	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2004:43:38%20GMT	http://ashik.templatepath.net/conexi-preview-files/images/favicon//apple-icon-60x60.png	C:/My%20Web%20Sites/TaxiCo/ashik.templatepath.net/conexi-preview-files/images/favicon/apple-icon-60x60.png	(from http://ashik.templatepath.net/conexi-preview-files/)
00:24:11	2272/2272	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2004:43:38%20GMT	http://ashik.templatepath.net/conexi-preview-files/images/favicon//apple-icon-72x72.png	C:/My%20Web%20Sites/TaxiCo/ashik.templatepath.net/conexi-preview-files/images/favicon/apple-icon-72x72.png	(from http://ashik.templatepath.net/conexi-preview-files/)
00:24:11	2394/2394	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2004:43:40%20GMT	http://ashik.templatepath.net/conexi-preview-files/images/favicon//apple-icon-76x76.png	C:/My%20Web%20Sites/TaxiCo/ashik.templatepath.net/conexi-preview-files/images/favicon/apple-icon-76x76.png	(from http://ashik.templatepath.net/conexi-preview-files/)
00:24:11	3311/3311	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2004:43:32%20GMT	http://ashik.templatepath.net/conexi-preview-files/images/favicon//apple-icon-114x114.png	C:/My%20Web%20Sites/TaxiCo/ashik.templatepath.net/conexi-preview-files/images/favicon/apple-icon-114x114.png	(from http://ashik.templatepath.net/conexi-preview-files/)
00:24:12	3465/3465	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2004:43:34%20GMT	http://ashik.templatepath.net/conexi-preview-files/images/favicon//apple-icon-120x120.png	C:/My%20Web%20Sites/TaxiCo/ashik.templatepath.net/conexi-preview-files/images/favicon/apple-icon-120x120.png	(from http://ashik.templatepath.net/conexi-preview-files/)
00:24:12	4068/4068	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2004:43:34%20GMT	http://ashik.templatepath.net/conexi-preview-files/images/favicon//apple-icon-144x144.png	C:/My%20Web%20Sites/TaxiCo/ashik.templatepath.net/conexi-preview-files/images/favicon/apple-icon-144x144.png	(from http://ashik.templatepath.net/conexi-preview-files/)
00:24:12	4329/4329	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2004:43:36%20GMT	http://ashik.templatepath.net/conexi-preview-files/images/favicon//apple-icon-152x152.png	C:/My%20Web%20Sites/TaxiCo/ashik.templatepath.net/conexi-preview-files/images/favicon/apple-icon-152x152.png	(from http://ashik.templatepath.net/conexi-preview-files/)
00:24:13	5201/5201	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2004:43:36%20GMT	http://ashik.templatepath.net/conexi-preview-files/images/favicon//apple-icon-180x180.png	C:/My%20Web%20Sites/TaxiCo/ashik.templatepath.net/conexi-preview-files/images/favicon/apple-icon-180x180.png	(from http://ashik.templatepath.net/conexi-preview-files/)
00:24:13	5113/5113	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2004:43:28%20GMT	http://ashik.templatepath.net/conexi-preview-files/images/favicon//android-icon-192x192.png	C:/My%20Web%20Sites/TaxiCo/ashik.templatepath.net/conexi-preview-files/images/favicon/android-icon-192x192.png	(from http://ashik.templatepath.net/conexi-preview-files/)
00:24:13	1430/1430	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2004:43:44%20GMT	http://ashik.templatepath.net/conexi-preview-files/images/favicon//favicon-32x32.png	C:/My%20Web%20Sites/TaxiCo/ashik.templatepath.net/conexi-preview-files/images/favicon/favicon-32x32.png	(from http://ashik.templatepath.net/conexi-preview-files/)
00:24:13	2887/2887	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2004:43:44%20GMT	http://ashik.templatepath.net/conexi-preview-files/images/favicon//favicon-96x96.png	C:/My%20Web%20Sites/TaxiCo/ashik.templatepath.net/conexi-preview-files/images/favicon/favicon-96x96.png	(from http://ashik.templatepath.net/conexi-preview-files/)
00:24:14	693/693	---M--	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2004:43:42%20GMT	http://ashik.templatepath.net/conexi-preview-files/images/favicon//favicon-16x16.png	C:/My%20Web%20Sites/TaxiCo/ashik.templatepath.net/conexi-preview-files/images/favicon/favicon-16x16.png	(from http://ashik.templatepath.net/conexi-preview-files/)
00:24:14	720/720	---M--	200	added ('OK')	application/json	date:Sun,%2028%20Apr%202019%2011:07:12%20GMT	http://ashik.templatepath.net/conexi-preview-files/images/favicon/manifest.json	C:/My%20Web%20Sites/TaxiCo/ashik.templatepath.net/conexi-preview-files/images/favicon/manifest.json	(from http://ashik.templatepath.net/conexi-preview-files/)
